run,anchor_mode,token_anchor_dist_mean,token_anchor_dist_std,z1_anchor_cos_mean,z1_anchor_cos_std
simcon,own,12.339056015014648,1.7722246646881104,0.6839838624000549,0.07158151268959045
simcon,shuffled,22.761560440063477,2.8724515438079834,0.40242621302604675,0.11007052659988403
simcon,wrong,22.920534133911133,3.1457579135894775,0.407583624124527,0.11126739531755447
simcon_sircl,own,8.38093090057373,1.1635769605636597,0.6044776439666748,0.07755933701992035
simcon_sircl,shuffled,16.300214767456055,2.7234203815460205,0.3499472737312317,0.11539305746555328
simcon_sircl,wrong,17.06104850769043,2.7008962631225586,0.33706381916999817,0.11944887042045593
codi,own,10.263376235961914,1.2917497158050537,0.8280757665634155,0.05969017744064331
codi,shuffled,16.192176818847656,2.894976854324341,0.6113927960395813,0.11155209690332413
codi,wrong,16.361482620239258,3.0040576457977295,0.6150556802749634,0.11716975271701813
codi_sircl,own,5.046366214752197,0.8372610807418823,0.6916016936302185,0.08488423377275467
codi_sircl,shuffled,14.862984657287598,3.7004029750823975,0.46548983454704285,0.11866772919893265
codi_sircl,wrong,15.290421485900879,3.886613607406616,0.46837711334228516,0.11998645961284637
