latent_num,codi,codi_sircl,simcon,simcon_sircl
1,0.4215314632297194,0.5034116755117514,0.3206974981046247,0.4215314632297194
2,0.423805913570887,0.5094768764215315,0.3768006065200909,0.4359363153904473
3,0.5041698256254739,0.5443517816527672,0.3927217589082638,0.4510993176648976
4,0.5041698256254739,0.5489006823351024,0.4192570128885519,0.5034116755117514
5,0.5246398786959818,0.5526914329037149,0.5163002274450341,0.5322213798332069
6,0.5291887793783169,0.5572403335860501,0.5322213798332069,0.5610310841546626
7,0.5276724791508719,0.5564821834723275,0.5344958301743745,0.5526914329037149
8,0.5299469294920395,0.5534495830174374,0.5072024260803639,0.5466262319939348
9,0.5208491281273692,0.5526914329037149,0.4965883244882487,0.5489006823351024
10,0.5208491281273692,0.5489006823351024,0.4874905231235785,0.5489006823351024
11,0.5170583775587566,0.5451099317664898,0.4943138741470811,0.555724033358605
12,0.5178165276724791,0.5443517816527672,0.4836997725549659,0.5579984836997726
13,0.5185746777862017,0.5413191811978771,0.4761182714177407,0.5572403335860501
14,0.5170583775587566,0.5398028809704322,0.4746019711902957,0.55420773313116
15,0.5170583775587566,0.5382865807429871,0.4783927217589083,0.5511751326762699
16,0.5140257771038665,0.5375284306292646,0.470811220621683,0.5519332827899924
17,0.5064442759666414,0.5375284306292646,0.4670204700530705,0.5496588324488249
18,0.5049279757391963,0.5329795299469295,0.467778620166793,0.5481425322213799
