idx,num_steps,num_calcs,question_words,difficulty,answer_magnitude,simcon_correct,simcon_sircl_correct,simcon_transition,codi_correct,codi_sircl_correct,codi_transition,simcon_radius_mean,simcon_sircl_radius_mean,simcon_path_length,simcon_sircl_path_length
740,2,2,52,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,12.203857,6.8299527,88.1927,41.241955
741,3,3,38,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.543999,7.998429,97.69768,51.518475
742,3,3,37,medium (3-4 steps),small (11-100),False,True,recovered,True,True,both_correct,11.01668,7.033231,78.530914,45.42871
743,4,4,56,medium (3-4 steps),tiny (≤10),True,True,both_correct,True,False,regressed,13.189612,9.581267,102.97826,69.35115
744,2,2,60,easy (1-2 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,11.283691,8.68849,92.329315,54.155483
745,4,4,52,medium (3-4 steps),large (>1K),False,False,both_wrong,False,False,both_wrong,11.141602,10.216096,76.29235,78.34923
746,7,7,77,very hard (7+ steps),small (11-100),False,False,both_wrong,False,False,both_wrong,11.238085,9.267705,75.85529,72.4077
747,4,4,46,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,13.242182,9.913604,88.0775,73.069466
748,3,3,32,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,11.171771,7.3349395,90.69307,45.05995
749,2,2,30,easy (1-2 steps),tiny (≤10),True,True,both_correct,False,False,both_wrong,12.735517,8.491476,79.33842,53.774666
750,5,5,43,hard (5-6 steps),large (>1K),False,False,both_wrong,False,False,both_wrong,14.045604,8.778769,112.18722,68.206795
751,5,4,74,hard (5-6 steps),small (11-100),True,True,both_correct,True,False,regressed,11.870643,9.297334,93.71872,70.29668
752,2,2,27,easy (1-2 steps),medium (101-1K),False,True,recovered,False,False,both_wrong,12.57749,6.9763136,82.92295,47.17489
753,5,4,43,hard (5-6 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,13.685937,10.026462,105.34398,79.15019
754,8,6,84,very hard (7+ steps),small (11-100),False,False,both_wrong,False,False,both_wrong,10.355893,8.11266,64.04757,49.594578
755,2,2,40,easy (1-2 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,11.521886,7.5757184,86.02219,51.14515
756,4,1,48,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,12.330663,8.759255,97.76927,52.5157
757,5,5,63,hard (5-6 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,11.656356,10.071797,88.13332,82.26024
758,2,2,19,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,14.036092,8.063779,83.60185,54.256115
759,2,2,32,easy (1-2 steps),large (>1K),True,True,both_correct,True,True,both_correct,12.7901325,8.089938,83.55673,49.119846
760,4,4,44,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.532702,9.6887665,99.290054,78.721176
761,2,2,26,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.217764,8.304251,97.20753,54.26538
762,3,3,41,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.7812395,10.089166,109.91792,67.60445
763,7,0,52,very hard (7+ steps),small (11-100),False,False,both_wrong,False,False,both_wrong,9.6131735,6.697307,70.21033,40.77721
764,4,4,53,medium (3-4 steps),small (11-100),False,True,recovered,True,True,both_correct,11.902764,8.24006,81.67874,52.46415
765,3,3,18,medium (3-4 steps),medium (101-1K),False,True,recovered,True,True,both_correct,13.921269,8.991495,107.00707,63.40199
766,2,2,42,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.668539,7.3568473,89.71497,46.19209
767,2,2,32,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.022901,8.541853,100.68198,51.470966
768,3,3,31,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,12.880987,7.684215,92.58807,47.647575
769,3,2,52,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,11.81924,8.694735,75.22184,57.826256
770,3,3,88,medium (3-4 steps),tiny (≤10),True,True,both_correct,False,True,recovered,12.381755,8.285975,99.22437,56.072197
771,3,3,44,medium (3-4 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,14.617371,8.714757,111.8417,56.487144
772,6,6,62,hard (5-6 steps),small (11-100),True,True,both_correct,False,False,both_wrong,10.947348,9.212061,70.15869,68.44893
773,5,5,33,hard (5-6 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,13.282376,9.116118,99.47157,69.59662
774,3,3,31,medium (3-4 steps),tiny (≤10),False,False,both_wrong,False,True,recovered,10.261771,7.928238,74.85937,51.987484
775,4,4,50,medium (3-4 steps),medium (101-1K),False,False,both_wrong,True,True,both_correct,13.941411,9.650592,108.06162,69.089066
776,2,2,20,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,14.828088,7.2166495,89.33968,46.149723
777,8,8,72,very hard (7+ steps),large (>1K),False,True,recovered,False,False,both_wrong,11.024373,9.979142,68.932915,73.94787
778,4,4,52,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,12.867698,9.114513,100.70097,62.775307
779,6,6,52,hard (5-6 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,12.278035,9.613241,74.550766,63.13704
780,4,4,95,medium (3-4 steps),small (11-100),False,False,both_wrong,True,False,regressed,12.068566,9.6560135,82.41796,61.56451
781,2,2,35,easy (1-2 steps),small (11-100),False,True,recovered,True,True,both_correct,13.492707,7.6911736,106.57881,48.84604
782,6,6,38,hard (5-6 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,10.9688635,8.106626,75.28428,53.14245
