group,label,source,count,full_count,radius_mean_mean,radius_mean_std,radius_max_mean,radius_max_std,early_radius_mean_mean,early_radius_mean_std,late_radius_mean_mean,late_radius_mean_std,radius_change_mean,radius_change_std,pairwise_diversity_mean_mean,pairwise_diversity_mean_std,pairwise_diversity_std_mean,pairwise_diversity_std_std,path_length_mean,path_length_std,span_mean,span_std,effective_movement_ratio_mean,effective_movement_ratio_std,smoothness_mean,smoothness_std,dist_to_final_mean_mean,dist_to_final_mean_std,backtracking_rate_mean,backtracking_rate_std,violation_rate_mean,violation_rate_std
baseline_correct,Baseline correct,baseline,100,707,13.111590385437012,1.5406657457351685,18.894834518432617,2.175476312637329,15.130675315856934,1.9475798606872559,11.09027099609375,1.7097301483154297,-4.040405750274658,1.720581293106079,20.714242935180664,2.431966781616211,5.337275505065918,1.5630131959915161,93.5135269165039,13.165590286254883,25.07989501953125,3.7692110538482666,0.27058345079421997,0.040801726281642914,0.020128315314650536,0.15567412972450256,17.725950241088867,2.500073194503784,0.2940000295639038,0.1660240888595581,1.0,0.0
baseline_correct,Baseline correct,sircl,100,707,8.330302238464355,0.9399087429046631,18.149465560913086,1.626196026802063,11.2185640335083,1.2599514722824097,5.891150951385498,1.0982013940811157,-5.3274126052856445,1.4638339281082153,13.715251922607422,1.503800868988037,6.684694290161133,1.0898351669311523,55.37504577636719,9.601816177368164,20.989551544189453,2.0212149620056152,0.38746538758277893,0.05969513580203056,0.0550052747130394,0.20343460142612457,10.269298553466797,1.401492714881897,0.3020000159740448,0.1455884575843811,1.0,0.0
baseline_wrong,Baseline wrong,baseline,100,612,11.372913360595703,1.5159083604812622,17.61248016357422,2.0837106704711914,13.764659881591797,1.7934821844100952,9.183069229125977,1.604676604270935,-4.581592559814453,1.5849844217300415,18.20214080810547,2.3639333248138428,4.907865524291992,1.113829255104065,79.35029602050781,14.920854568481445,22.915687561035156,2.993832588195801,0.29757755994796753,0.06611161679029465,0.013651622459292412,0.15241417288780212,14.902477264404297,2.3651204109191895,0.1940000206232071,0.16113349795341492,1.0,0.0
baseline_wrong,Baseline wrong,sircl,100,612,8.42321491241455,1.2593830823898315,17.853200912475586,1.9137786626815796,10.767329216003418,1.577380657196045,6.571565628051758,1.2820433378219604,-4.195761680603027,1.350036859512329,13.732041358947754,1.9952492713928223,6.2862043380737305,1.0630313158035278,56.43952560424805,11.525592803955078,21.324050903320312,2.426748275756836,0.38949641585350037,0.06855251640081406,-0.0031463000923395157,0.18575601279735565,10.720738410949707,1.846671223640442,0.30000004172325134,0.15874508023262024,1.0,0.0
sircl_correct,+SIRCL correct,baseline,100,746,13.14088249206543,1.6021918058395386,19.147533416748047,2.083737373352051,15.32691764831543,1.8598767518997192,10.953171730041504,1.8721145391464233,-4.373744487762451,1.7349562644958496,20.757705688476562,2.4655046463012695,5.237683296203613,1.5647634267807007,94.10729217529297,14.183402061462402,25.632949829101562,3.4738006591796875,0.2763440012931824,0.04368327185511589,-0.016623780131340027,0.1472773402929306,17.803075790405273,2.6484978199005127,0.25200003385543823,0.15904715657234192,1.0,0.0
sircl_correct,+SIRCL correct,sircl,100,746,8.322348594665527,1.0193628072738647,17.760147094726562,1.6080708503723145,11.129018783569336,1.3490417003631592,5.914936542510986,1.1127599477767944,-5.214081287384033,1.4686733484268188,13.632861137390137,1.6121881008148193,6.4749226570129395,1.017350673675537,55.354373931884766,10.124810218811035,20.835580825805664,2.0861847400665283,0.38468798995018005,0.056741632521152496,0.027548423036932945,0.21211278438568115,10.309298515319824,1.472609519958496,0.2860000431537628,0.12729492783546448,1.0,0.0
sircl_wrong,+SIRCL wrong,baseline,100,573,11.595478057861328,1.653337836265564,17.798622131347656,2.064587354660034,14.000833511352539,1.874221682548523,9.388652801513672,1.957440733909607,-4.612182140350342,1.8386203050613403,18.524497985839844,2.486990213394165,4.9454426765441895,1.1222708225250244,82.04882049560547,16.11768913269043,23.340490341186523,3.354295492172241,0.2938028573989868,0.07114735245704651,0.001963406102731824,0.1588054597377777,15.32733154296875,2.860027551651001,0.21800002455711365,0.15256473422050476,1.0,0.0
sircl_wrong,+SIRCL wrong,sircl,100,573,8.293530464172363,1.3358161449432373,18.09223175048828,1.8191123008728027,10.823983192443848,1.7083845138549805,6.240434646606445,1.285567283630371,-4.583547592163086,1.376419186592102,13.590526580810547,2.1250076293945312,6.551219940185547,1.0339395999908447,55.2890510559082,12.292768478393555,21.492876052856445,2.2813332080841064,0.4031427502632141,0.07356471568346024,6.910979573149234e-05,0.20151641964912415,10.340108871459961,1.9300696849822998,0.276000052690506,0.15435026586055756,1.0,0.0
stable_correct,Both correct,baseline,100,627,13.158672332763672,1.5893123149871826,19.017440795898438,2.2548248767852783,15.16689682006836,2.012277126312256,11.047950744628906,1.8940927982330322,-4.1189446449279785,1.9798164367675781,20.793663024902344,2.4648070335388184,5.52191162109375,1.8185874223709106,92.506103515625,13.80576229095459,25.205446243286133,3.3395559787750244,0.2779172956943512,0.05968813970685005,0.03156440332531929,0.16647130250930786,17.681514739990234,2.675609827041626,0.27800002694129944,0.167080819606781,1.0,0.0
stable_correct,Both correct,sircl,100,627,8.246255874633789,0.9822045564651489,18.116159439086914,1.243337631225586,11.25892448425293,1.2564581632614136,5.633627891540527,1.1367251873016357,-5.625298500061035,1.4250532388687134,13.629483222961426,1.5285505056381226,6.776392936706543,0.8535704016685486,54.42912292480469,9.65822696685791,20.668046951293945,1.8187936544418335,0.3873458802700043,0.0521383136510849,0.08655741810798645,0.20269447565078735,10.081952095031738,1.432098150253296,0.27400004863739014,0.12854571640491486,1.0,0.0
