group,label,source,step,count,mean_radius,std_radius,p25_radius,p50_radius,p75_radius
baseline_correct,Baseline correct,baseline,1,100,18.78876304626465,2.198719024658203,16.921741485595703,18.933273315429688,20.33014678955078
baseline_correct,Baseline correct,baseline,2,100,14.704302787780762,2.6222000122070312,12.740116119384766,14.147735595703125,16.436159133911133
baseline_correct,Baseline correct,baseline,3,100,11.898963928222656,1.9730157852172852,10.63044548034668,11.769458770751953,13.203157424926758
baseline_correct,Baseline correct,baseline,4,100,13.118308067321777,2.178966760635376,11.626657485961914,13.408612251281738,14.944828033447266
baseline_correct,Baseline correct,baseline,5,100,12.661855697631836,3.300363779067993,10.216865539550781,11.707117080688477,15.135552406311035
baseline_correct,Baseline correct,baseline,6,100,10.258062362670898,2.04468035697937,8.583940505981445,10.29936408996582,11.946161270141602
baseline_correct,Baseline correct,baseline,7,100,10.350892066955566,2.702637195587158,8.110187530517578,10.232755661010742,12.298162460327148
baseline_correct,Baseline correct,sircl,1,100,18.149465560913086,1.626196026802063,17.189929962158203,17.846851348876953,19.026880264282227
baseline_correct,Baseline correct,sircl,2,100,7.3703742027282715,2.1482598781585693,5.706486225128174,7.402416229248047,9.168706893920898
baseline_correct,Baseline correct,sircl,3,100,8.135854721069336,1.9987856149673462,6.769762992858887,8.124044418334961,9.407041549682617
baseline_correct,Baseline correct,sircl,4,100,6.982966899871826,1.4730181694030762,5.757816791534424,7.000624179840088,7.909726142883301
baseline_correct,Baseline correct,sircl,5,100,6.6936798095703125,1.4037495851516724,5.560276985168457,6.5448737144470215,7.561585426330566
baseline_correct,Baseline correct,sircl,6,100,5.8604512214660645,1.3999567031860352,4.791984558105469,5.415112495422363,6.819652080535889
baseline_correct,Baseline correct,sircl,7,100,5.119321823120117,1.1239601373672485,4.170751571655273,4.992923736572266,5.921008110046387
baseline_wrong,Baseline wrong,baseline,1,100,17.453516006469727,2.1324782371520996,16.013628005981445,17.35927963256836,18.57532501220703
baseline_wrong,Baseline wrong,baseline,2,100,12.957659721374512,2.446507453918457,11.530994415283203,12.81765365600586,14.153728485107422
baseline_wrong,Baseline wrong,baseline,3,100,10.882803916931152,2.148963451385498,9.68278694152832,10.791831970214844,12.208046913146973
baseline_wrong,Baseline wrong,baseline,4,100,10.767215728759766,2.6247425079345703,9.348984718322754,10.583828926086426,11.744532585144043
baseline_wrong,Baseline wrong,baseline,5,100,10.019246101379395,2.0613887310028076,8.718576431274414,9.943743705749512,11.095913887023926
baseline_wrong,Baseline wrong,baseline,6,100,9.004019737243652,1.9166812896728516,7.502297878265381,8.884220123291016,10.06972885131836
baseline_wrong,Baseline wrong,baseline,7,100,8.5259370803833,1.9214873313903809,7.244230270385742,8.496030807495117,9.63844108581543
baseline_wrong,Baseline wrong,sircl,1,100,17.853200912475586,1.9137786626815796,16.692577362060547,17.9453125,18.809255599975586
baseline_wrong,Baseline wrong,sircl,2,100,7.304454803466797,2.4882075786590576,5.257263660430908,7.116032600402832,9.113570213317871
baseline_wrong,Baseline wrong,sircl,3,100,7.144329071044922,1.8701220750808716,5.614608287811279,7.100502967834473,8.259522438049316
baseline_wrong,Baseline wrong,sircl,4,100,6.9458231925964355,1.603991985321045,5.769777774810791,6.97066068649292,7.831455230712891
baseline_wrong,Baseline wrong,sircl,5,100,7.196290493011475,1.5790317058563232,6.283042907714844,7.316892623901367,8.275582313537598
baseline_wrong,Baseline wrong,sircl,6,100,6.694770336151123,1.5986895561218262,5.478216171264648,6.625718116760254,7.632846832275391
baseline_wrong,Baseline wrong,sircl,7,100,5.823637008666992,1.3723127841949463,4.760798454284668,5.778667449951172,6.830431938171387
