bucket,label,count,baseline_accuracy,sircl_accuracy,absolute_gain,relative_gain_pct
baseline_correct,Baseline correct,707,1.0,0.8868458274398868,-0.11315417256011318,-11.315417256011317
baseline_wrong,Baseline wrong,612,0.0,0.19444444444444445,0.19444444444444445,nan
all,All,1319,0.5360121304018196,0.5655799848369977,0.029567854435178065,5.516265912305498
